Date/Time,Electricity:Facility [kWh](Hourly),Gas:Facility [kWh](Hourly),Heating:Electricity [kWh](Hourly),Heating:Gas [kWh](Hourly),Cooling:Electricity [kWh](Hourly),HVACFan:Fans:Electricity [kWh](Hourly),Electricity:HVAC [kWh](Hourly),Fans:Electricity [kWh](Hourly),General:InteriorLights:Electricity [kWh](Hourly),General:ExteriorLights:Electricity [kWh](Hourly),Appl:InteriorEquipment:Electricity [kWh](Hourly),Misc:InteriorEquipment:Electricity [kWh](Hourly),Water Heater:WaterSystems:Gas [kWh](Hourly) 
 01/01  01:00:00,0.982456782520083,9.96126537548606,0.000000000000000E+000,9.50350101872223,0.000000000000000E+000,0.261662599948841,0.261662599948841,0.261662599948841,0.161612925425957,3.521133876479848E-002,9.294299910333617E-002,0.413914905587548,0.429254844370717 
 01/01  02:00:00,0.868963672460862,10.5227731750368,0.000000000000000E+000,10.1602487881096,0.000000000000000E+000,0.279745023311553,0.279745023311553,0.279745023311553,9.427424132885273E-002,2.053995520145101E-002,7.618584051012475E-002,0.381106598419282,0.336274635724591 
 01/01  03:00:00,0.825603004274870,10.7771186852887,0.000000000000000E+000,10.4406851488794,0.000000000000000E+000,0.287466357495099,0.287466357495099,0.287466357495099,6.733872589355760E-002,1.467139266972975E-002,6.232654333565033E-002,0.376687971191233,0.310488130148150 
 01/01  04:00:00,0.820944004714123,11.1098462232737,0.000000000000000E+000,10.7673233544316,0.000000000000000E+000,0.296459780228368,0.296459780228368,0.296459780228368,6.733872589355760E-002,1.467139266972975E-002,5.397647371529803E-002,0.371385618517571,0.316942676510763 
 01/01  05:00:00,0.822740780238531,11.3274050411790,0.000000000000000E+000,10.9118565532187,0.000000000000000E+000,0.300439253950636,0.300439253950636,0.300439253950636,6.733872589355760E-002,1.467139266972975E-002,6.582291696649339E-002,0.357356477068514,0.390934590818111 
 01/01  06:00:00,0.880233678186715,11.7137210666316,0.000000000000000E+000,10.9777019481909,0.000000000000000E+000,0.302252193961812,0.302252193961812,0.302252193961812,6.733872589355760E-002,1.467139266972975E-002,8.007824464053613E-002,0.398781107331481,0.708551987472086 
 01/01  07:00:00,1.10514672326168,12.1706723633824,0.000000000000000E+000,10.8332657800725,0.000000000000000E+000,0.298275391812575,0.298275391812575,0.298275391812575,0.154879098812700,3.374420951484601E-002,0.140383655227083,0.460752354204875,1.30567101453715 
 01/01  08:00:00,1.44829181526858,12.8648624190629,0.000000000000000E+000,11.3528352641601,0.000000000000000E+000,0.312580846380591,0.312580846380591,0.312580846380591,0.316492024238656,6.895554827964449E-002,0.228567473812190,0.489583896867899,1.47830573538686 
 01/01  09:00:00,1.38018425233679,11.6066104281248,0.000000000000000E+000,10.1325935237008,0.000000000000000E+000,0.278983583040938,0.278983583040938,0.278983583040938,0.303024287419236,6.602127156697500E-002,0.301128191032485,0.413914905587548,1.44550739203095 
 01/01  10:00:00,1.18272937958986,10.4099336924294,0.000000000000000E+000,9.06735791320603,0.000000000000000E+000,0.249654147620135,0.249654147620135,0.249654147620135,0.154879098812700,3.374420951484601E-002,0.375064854196324,0.352275055756258,1.31831187876387 
 01/01  11:00:00,1.18869611022121,10.6087465258392,0.000000000000000E+000,9.42175158273654,0.000000000000000E+000,0.259411769447300,0.259411769447300,0.259411769447300,0.127943541580951,2.787563787674246E-002,0.395793165817765,0.360559981808849,1.16216039587786 
 01/01  12:00:00,1.15278003281371,8.50942850117391,0.000000000000000E+000,7.46622052348597,0.000000000000000E+000,0.205569575898189,0.205569575898189,0.205569575898189,0.127943541580951,2.787563787674246E-002,0.413608816278677,0.360670447489552,1.01836582183967 
 01/01  13:00:00,1.12343523007534,8.06232948417737,0.000000000000000E+000,7.12782378615972,0.000000000000000E+000,0.196252402160999,0.196252402160999,0.196252402160999,0.127943541580951,2.787563787674246E-002,0.399656799716067,0.354594835050983,0.910082016463928 
 01/01  14:00:00,1.09174346883758,7.78660212277899,0.000000000000000E+000,6.91961191206096,0.000000000000000E+000,0.190519645337007,0.190519645337007,0.190519645337007,0.127943541580951,2.787563787674246E-002,0.361436104744461,0.366856525608822,0.841721971951683 
 01/01  15:00:00,1.08834676469000,7.62987139549923,0.000000000000000E+000,6.82566206209300,0.000000000000000E+000,0.187932897362866,0.187932897362866,0.187932897362866,0.134677451787115,2.934278533945949E-002,0.331768008611008,0.387513607899952,0.777518282038484 
 01/01  16:00:00,1.16083031307923,7.70326183996832,0.000000000000000E+000,6.89041292306712,0.000000000000000E+000,0.189715701257771,0.189715701257771,0.189715701257771,0.168346835632121,3.667848622751551E-002,0.339922860635529,0.409054415636696,0.784674183943728 
 01/01  17:00:00,1.42298856653509,7.72679581951679,0.000000000000000E+000,6.82647968552063,0.000000000000000E+000,0.187955409221542,0.187955409221542,0.187955409221542,0.282822640393651,6.161984739158848E-002,0.389638974367272,0.483839681471435,0.866990362904141 
 01/01  18:00:00,1.94553157987456,9.07982767822986,0.000000000000000E+000,8.00959616619050,0.000000000000000E+000,0.220530492210907,0.220530492210907,0.220530492210907,0.525242070329039,0.114436864645168,0.480422251988538,0.587787887011303,1.02974602619904 
 01/01  19:00:00,2.25535494554768,7.99429898623277,0.000000000000000E+000,6.76166720212946,0.000000000000000E+000,0.186170908659079,0.186170908659079,0.186170908659079,0.781129237083851,0.170188158611418,0.432594366092666,0.638160237411070,1.18867676593013 
 01/01  20:00:00,2.21097069898084,7.68912023394893,0.000000000000000E+000,6.42264111698756,0.000000000000000E+000,0.176836406909256,0.176836406909256,0.176836406909256,0.828266357748276,0.180458136212143,0.349590930400065,0.658706854021501,1.22110889481031 
 01/01  21:00:00,2.05617079856129,7.63555781568264,0.000000000000000E+000,6.45286644995172,0.000000000000000E+000,0.177668609609308,0.177668609609308,0.177668609609308,0.713790552986747,0.155516756835306,0.310730546875078,0.681352318565255,1.13576137575476 
 01/01  22:00:00,1.88750023035945,7.64356495818588,0.000000000000000E+000,6.57762129081352,0.000000000000000E+000,0.181103520170352,0.181103520170352,0.181103520170352,0.599314664632309,0.130575395671233,0.293949375651685,0.665445260544277,1.02010931918553 
 01/01  23:00:00,1.56726269913747,7.80400386338951,0.000000000000000E+000,6.92438364778574,0.000000000000000E+000,0.190651026895609,0.190651026895609,0.190651026895609,0.451169476025773,9.829833361910398E-002,0.234174255411816,0.575857593495570,0.839956461105445 
 01/01  24:00:00,1.24707133220449,7.96843522336977,0.000000000000000E+000,7.29471704672364,0.000000000000000E+000,0.200847521831851,0.200847521831851,0.200847521831851,0.309758114032493,6.748840081692746E-002,0.151455748256992,0.500409533576620,0.639251112023572 
 01/02  01:00:00,0.935092499446373,8.46271431954929,0.000000000000000E+000,8.02199980791763,0.000000000000000E+000,0.220872005210881,0.220872005210881,0.220872005210881,0.161612925425957,3.521133876479848E-002,8.636931076758889E-002,0.413914905587548,0.412204999238577 
 01/02  02:00:00,0.811724891370699,8.57931059972368,0.000000000000000E+000,8.22470952047855,0.000000000000000E+000,0.226453269454350,0.226453269454350,0.226453269454350,9.427424132885273E-002,2.053995520145101E-002,7.223881327716383E-002,0.381106598419282,0.328351328042541 
 01/02  03:00:00,0.768445660648609,8.78993242879054,0.000000000000000E+000,8.45958832199272,0.000000000000000E+000,0.232920254385060,0.232920254385060,0.232920254385060,6.733872589355760E-002,1.467139266972975E-002,5.971530281942931E-002,0.376687971191233,0.304398700536693 
 01/02  04:00:00,0.757577209367741,8.85216242727361,0.000000000000000E+000,8.51545291546752,0.000000000000000E+000,0.234458390146282,0.234458390146282,0.234458390146282,6.733872589355760E-002,1.467139266972975E-002,5.261106845099969E-002,0.371385618517571,0.311129319474729 
 01/02  05:00:00,0.749205946052611,8.74064722957625,0.000000000000000E+000,8.33811073968620,0.000000000000000E+000,0.229575577517115,0.229575577517115,0.229575577517115,6.733872589355760E-002,1.467139266972975E-002,6.315175921409334E-002,0.357356477068514,0.377922592747888 
