Date/Time,Electricity:Facility [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Electricity [kW](Hourly),Heating:Gas [kW](Hourly),Cooling:Electricity [kW](Hourly),HVACFan:Fans:Electricity [kW](Hourly),Electricity:HVAC [kW](Hourly),Fans:Electricity [kW](Hourly),General:InteriorLights:Electricity [kW](Hourly),General:ExteriorLights:Electricity [kW](Hourly),Appl:InteriorEquipment:Electricity [kW](Hourly),Misc:InteriorEquipment:Electricity [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly) 
 01/01  01:00:00,0.981488853548,9.92621132842,0.0,9.46836709464,0.0,0.260695247612,0.260695247612,0.260695247612,0.161612796136,0.0352113105958,0.092942924749,0.413914574456,0.429334744195
 01/01  02:00:00,0.867894010975,10.4840394011,0.0,10.121416149,0.0,0.2786758332,0.2786758332,0.2786758332,0.0942741659095,0.0205399387695,0.0761857795615,0.381106293534,0.336373521917
 01/01  03:00:00,0.824653253959,10.7427339813,0.0,10.4062061605,0.0,0.286517037688,0.286517037688,0.286517037688,0.0673386720226,0.0146713809326,0.0623264934745,0.376687669841,0.31058243537
 01/01  04:00:00,0.819951110672,11.0738860643,0.0,10.7312770032,0.0,0.295467305773,0.295467305773,0.295467305773,0.0673386720226,0.0146713809326,0.0539764305342,0.371385321409,0.317028889288
 01/01  05:00:00,0.821757323232,11.2917892064,0.0,10.8761528886,0.0,0.299456214785,0.299456214785,0.299456214785,0.0673386720226,0.0146713809326,0.0658228643082,0.357356191184,0.391022440345
 01/01  06:00:00,0.879295409945,11.6797478581,0.0,10.9436411427,0.0,0.301314388104,0.301314388104,0.301314388104,0.0673386720226,0.0146713809326,0.080078180578,0.398780788307,0.708639606384
 01/01  07:00:00,1.10415626985,12.1348091344,0.0,10.7973162767,0.0,0.2972855839,0.2972855839,0.2972855839,0.15487897491,0.0337441825195,0.14038354292,0.460751985603,1.30575731432
 01/01  08:00:00,1.44700215531,12.8181392236,0.0,11.3060282303,0.0,0.311292094987,0.311292094987,0.311292094987,0.316491771045,0.0689554931152,0.228567290958,0.489583505201,1.47838960073
 01/01  09:00:00,1.37606754425,11.4572124023,0.0,9.98310801317,0.0,0.274867755909,0.274867755909,0.274867755909,0.303024045,0.06602121875,0.30112795013,0.413914574456,1.44559489952
 01/01  10:00:00,1.17742670976,10.2175185788,0.0,8.87479377084,0.0,0.24435222425,0.24435222425,0.24435222425,0.15487897491,0.0337441825195,0.375064554145,0.352274773936,1.31846092695
 01/01  11:00:00,1.18329294161,10.4127437983,0.0,9.22553724702,0.0,0.254009344264,0.254009344264,0.254009344264,0.127943439226,0.0278756155762,0.395792849183,0.360559693361,1.16237202392
 01/01  12:00:00,1.14788235124,8.3317940589,0.0,7.28836583415,0.0,0.200672652087,0.200672652087,0.200672652087,0.127943439226,0.0278756155762,0.413608485392,0.360670158953,1.01858608878
 01/01  13:00:00,1.11864522884,7.88860553298,0.0,6.95387943027,0.0,0.191463142675,0.191463142675,0.191463142675,0.127943439226,0.0278756155762,0.399656479991,0.354594551375,0.910302440699
 01/01  14:00:00,1.08667470177,7.60276152201,0.0,6.73554211687,0.0,0.185451599247,0.185451599247,0.185451599247,0.127943439226,0.0278756155762,0.361435815596,0.366856232124,0.841951186592
 01/01  15:00:00,1.08355294045,7.45602595645,0.0,6.65157807798,0.0,0.183139793453,0.183139793453,0.183139793453,0.134677344045,0.0293427618652,0.331767743197,0.387513297889,0.777756848459
 01/01  16:00:00,1.1554661003,7.50872231509,0.0,6.69561466586,0.0,0.184352265368,0.184352265368,0.184352265368,0.168346700955,0.0366784568848,0.339922588697,0.409054088393,0.784932938806
 01/01  17:00:00,1.41839155228,7.5601324827,0.0,6.65955349917,0.0,0.183359382996,0.183359382996,0.183359382996,0.282822414136,0.0616197980958,0.389638662656,0.4838392944,0.867253239099
 01/01  18:00:00,1.94150043356,8.93374563718,0.0,7.86323635685,0.0,0.2165007259,0.2165007259,0.2165007259,0.525241650136,0.114436773096,0.480421867651,0.587787416781,1.03002382688
 01/01  19:00:00,2.25213866751,7.87784116449,0.0,6.64491314541,0.0,0.182956285966,0.182956285966,0.182956285966,0.781128612181,0.170188022461,0.432594020017,0.638159726883,1.18897303607
 01/01  20:00:00,2.20829549349,7.59214167003,0.0,6.32553762167,0.0,0.17416282872,0.17416282872,0.17416282872,0.828265695136,0.180457991846,0.349590650728,0.658706327056,1.22123386251
 01/01  21:00:00,2.05437166291,7.57044402937,0.0,6.38757700601,0.0,0.175870976756,0.175870976756,0.175870976756,0.713789981955,0.155516632422,0.310730298291,0.681351773484,1.13593707093
