YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),SUNY Glo (Wh/m^2),SUNY Glo Flg,SUNY Glo Unc (%),SUNY Dir (Wh/m^2),SUNY Dir Flg,SUNY Dir Unc (%),SUNY Dif (Wh/m^2),SUNY Dif Flg,SUNY Dif Unc (%),METSTAT Glo (Wh/m^2),METSTAT Glo Unc (%),METSTAT Dir (Wh/m^2),METSTAT Dir Unc (%),METSTAT Dif (Wh/m^2),METSTAT Dif Unc (%),METSTAT CSKY Glo (Wh/m^2),METSTAT CSKY Glo Unc (%),METSTAT CSKY Dir (Wh/m^2),METSTAT CSKY Dir Unc (%),METSTAT CSKY Dif (Wh/m^2),METSTAT CSKY Dif Unc (%),Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg,AOD RAN (unitless), AOD RAN Flg,Ozone (cm),Ozone Flg,Albedo (unitless),Albedo Flg
1991-01-01,1:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,1,0.094,1,0.094,1,0.308,1,0.17,0
1991-01-01,2:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,1,0.094,1,0.094,1,0.308,1,0.17,0
1991-01-01,3:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,1,0.094,1,0.094,1,0.308,1,0.17,0
1991-01-01,4:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.7,1,0.094,1,0.094,1,0.308,1,0.17,0
1991-01-01,5:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,1,0.094,1,0.094,1,0.308,1,0.17,0
1991-01-01,6:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,1,0.094,1,0.094,1,0.308,1,0.17,0
1991-01-01,7:00,99.0,-99.0,0,0,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,0,0,0,0,0,0,0,0,0,0,0,0,-9900,99,-9900,99,-9900,99,0.8,1,0.094,1,0.094,1,0.308,1,0.17,0
1991-01-01,8:00,87.2,124.4,46,931,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,14,11,82,16,10,11,15,10,121,16,9,10,-9900,99,-9900,99,-9900,99,0.8,1,0.094,1,0.073,1,0.308,1,0.17,0
1991-01-01,9:00,80.2,133.4,242,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,105,11,215,16,68,11,125,10,510,16,38,10,-9900,99,-9900,99,-9900,99,0.8,1,0.094,1,0.073,1,0.308,1,0.17,0
1991-01-01,10:00,72.9,145.5,415,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,257,11,619,16,76,11,257,10,700,16,52,10,-9900,99,-9900,99,-9900,99,0.8,1,0.094,1,0.073,1,0.308,1,0.17,0
1991-01-01,11:00,67.7,159.0,536,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,299,11,586,16,78,11,359,10,785,16,62,10,-9900,99,-9900,99,-9900,99,0.8,1,0.094,1,0.073,1,0.308,1,0.17,0
1991-01-01,12:00,65.1,173.8,595,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,349,11,554,16,116,11,411,10,817,16,67,10,-9900,99,-9900,99,-9900,99,0.8,1,0.094,1,0.073,1,0.308,1,0.17,0
1991-01-01,13:00,65.4,189.0,589,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,376,11,598,16,127,11,405,10,814,16,66,10,-9900,99,-9900,99,-9900,99,0.8,1,0.094,1,0.073,1,0.308,1,0.17,0
1991-01-01,14:00,68.5,203.5,518,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,324,11,708,16,65,11,344,10,774,16,60,10,-9900,99,-9900,99,-9900,99,0.8,1,0.094,1,0.073,1,0.308,1,0.17,0
1991-01-01,15:00,74.1,216.8,387,1415,-9900,99,-9900,-9900,99,-9900,-9900,99,-9900,211,11,456,16,86,11,235,10,676,16,50,10,-9900,99,-9900,99,-9900,99,0.8,1,0.094,1,0.073,1,0.308,1,0.17,0
