t	D	E	c	n
1	5000	5000	100	30
2	5050.25	4900.99	99.99	30
3	5075.57	4852.23	99.98	29.99
4	5101.01	4803.95	99.96	29.98
5	5126.58	4756.15	99.94	29.97
6	5152.27	4708.82	99.91	29.96
7	5178.1	4661.97	99.88	29.95
8	5204.05	4615.58	99.84	29.93
9	5230.14	4569.66	99.8	29.91
10	5256.36	4524.19	99.75	29.89
11	5282.7	4479.17	99.7	29.87
12	5309.18	4434.6	99.64	29.84
13	5335.8	4390.48	99.58	29.81
14	5362.54	4346.79	99.51	29.78
15	5389.42	4303.54	99.44	29.75
16	5416.44	4260.72	99.36	29.72
17	5443.59	4218.32	99.28	29.68
18	5470.87	4176.35	99.19	29.64
19	5498.29	4134.8	99.1	29.6
20	5525.85	4093.65	99	29.56
21	5553.55	4052.92	98.9	29.51
22	5581.39	4012.59	98.79	29.46
23	5609.37	3972.67	98.68	29.41
24	5637.48	3933.14	98.56	29.36
25	5665.74	3894	98.44	29.31
26	5694.14	3855.26	98.31	29.25
27	5722.68	3816.9	98.18	29.19
28	5751.37	3778.92	98.04	29.13
29	5780.2	3741.32	97.9	29.07
30	5809.17	3704.09	97.75	29
31	5838.29	3667.23	97.6	28.93
32	5867.55	3630.75	97.44	28.86
33	5896.97	3594.62	97.28	28.79
34	5926.52	3558.85	97.11	28.72
35	5956.23	3523.44	96.94	28.64
36	5986.09	3488.38	96.76	28.56
37	6016.09	3453.67	96.58	28.48
38	6046.25	3419.31	96.39	28.4
39	6076.55	3385.28	96.2	28.31
40	6107.01	3351.6	96	28.22
41	6137.63	3318.25	95.8	28.13
42	6168.39	3285.23	95.59	28.04
43	6199.31	3252.55	95.38	27.95
44	6230.38	3220.18	95.16	27.85
45	6261.61	3188.14	94.94	27.75
46	6293	3156.42	94.71	27.65
47	6324.54	3125.01	94.48	27.55
48	6356.25	3093.92	94.24	27.44
49	6388.11	3063.13	94	27.33
50	6420.13	3032.65	93.75	27.22
51	6452.31	3002.48	93.5	27.11
52	6484.65	2972.6	93.24	27
53	6517.15	2943.02	92.98	26.88
54	6549.82	2913.74	92.71	26.76
55	6582.65	2884.75	92.44	26.64
56	6615.65	2856.05	92.16	26.52
57	6648.81	2827.63	91.88	26.39
58	6682.14	2799.49	91.59	26.26
59	6715.63	2771.64	91.3	26.13
60	6749.29	2744.06	91	26
61	6783.13	2716.75	90.7	25.87
62	6817.13	2689.72	90.39	25.73
63	6851.3	2662.96	90.08	25.59
64	6885.64	2636.46	89.76	25.45
65	6920.15	2610.23	89.44	25.31
66	6954.84	2584.26	89.11	25.16
67	6989.7	2558.54	88.78	25.01
68	7024.74	2533.08	88.44	24.86
69	7059.95	2507.88	88.1	24.71
70	7095.34	2482.93	87.75	24.56
